"REF_DATE","GEO","DGUID","Coordinate","Population and dwelling counts (13): Population, 2021 [1]","Symbols","Population and dwelling counts (13): Population, 2016 [2]","Symbols","Population and dwelling counts (13): Population percentage change, 2016 to 2021 [3]","Symbols","Population and dwelling counts (13): Total private dwellings, 2021 [4]","Symbols","Population and dwelling counts (13): Total private dwellings, 2016 [5]","Symbols","Population and dwelling counts (13): Total private dwellings percentage change, 2016 to 2021 [6]","Symbols","Population and dwelling counts (13): Private dwellings occupied by usual residents, 2021 [7]","Symbols","Population and dwelling counts (13): Private dwellings occupied by usual residents, 2016 [8]","Symbols","Population and dwelling counts (13): Private dwellings occupied by usual residents percentage change, 2016 to 2021 [9]","Symbols","Population and dwelling counts (13): Land area in square kilometres, 2021 [10]","Symbols","Population and dwelling counts (13): Population density per square kilometre, 2021 [11]","Symbols","Population and dwelling counts (13): National population rank, 2021 [12]","Symbols","Population and dwelling counts (13): Province/territory population rank, 2021 [13]","Symbols"
"2021","Abbotsford - Mission","2021S0503932","1","195726",,"180518",,"8.4",,"70648",,"65967",,"7.1",,"67613",,"62631",,"8.0",,"606.72",,"322.6",,"23",,"4",
"2021","Abbotsford","2021A00055909052","2","153524",,"141397",,"8.6",,"55659",,"51770",,"7.5",,"53234",,"49040",,"8.6",,"375.33",,"409.0",,"32",,"5",
"2021","Langley 2","2021A00055909856","3","332",,"279","r","19.0",,"168",,"140","r","20.0",,"166",,"138","r","20.3",,"0.48",,"691.8",,"3411",,"358",
"2021","Matsqui Main 2","2021A00055909878","4","119",,"110",,"8.2",,"41",,"32",,"28.1",,"41",,"32",,"28.1",,"1.36",,"87.6",,"4177",,"445",
"2021","Mission","2021A00055909056","5","41519",,"38554","r","7.7",,"14701",,"13961","r","5.3",,"14098",,"13362","r","5.5",,"226.98",,"182.9",,"126",,"24",
"2021","Upper Sumas 6","2021A00055909877","6","232",,"178",,"30.3",,"79",,"64",,"23.4",,"74",,"59",,"25.4",,"2.56",,"90.5",,"3741",,"393",
"2021","Alma","2021S0504410","7","30331",,"30771","r","-1.4",,"14493",,"14310","r","1.3",,"13815",,"13652","r","1.2",,"194.92",,"155.6",,"89",,"19",
"2021","Alma","2021A00052493042","8","30331",,"30771","r","-1.4",,"14493",,"14310","r","1.3",,"13815",,"13652","r","1.2",,"194.92",,"155.6",,"156",,"37",
"2021","Amos","2021S0504481","9","18873",,"18872","r","0.0",,"8762",,"8488","r","3.2",,"8248",,"7974","r","3.4",,"2298.16",,"8.2",,"117",,"25",
"2021","Amos","2021A00052488055","10","12675",,"12823",,"-1.2",,"6051",,"5910",,"2.4",,"5760",,"5628",,"2.3",,"429.04",,"29.5",,"341",,"90",
"2021","Berry","2021A00052488070","11","535",,"538",,"-0.6",,"283",,"264",,"7.2",,"232",,"215",,"7.9",,"575.07",,"0.9",,"2859",,"901",
"2021","Pikogan","2021A00052488802","12","540",,"538",,"0.4",,"165",,"160",,"3.1",,"158",,"159",,"-0.6",,"1.00",,"537.4",,"2848",,"898",
"2021","Saint-Dominique-du-Rosaire","2021A00052488065","13","434",,"450",,"-3.6",,"205",,"197",,"4.1",,"193",,"185",,"4.3",,"479.89",,"0.9",,"3093",,"971",
"2021","Saint-Félix-de-Dalquier","2021A00052488060","14","1026",,"940",,"9.1",,"414",,"397",,"4.3",,"405",,"374",,"8.3",,"113.15",,"9.1",,"2082",,"653",
"2021","Saint-Marc-de-Figuery","2021A00052488040","15","868",,"834",,"4.1",,"386",,"356",,"8.4",,"352",,"323",,"9.0",,"80.79",,"10.7",,"2283",,"722",
"2021","Saint-Mathieu-d'Harricana","2021A00052488050","16","770",,"739",,"4.2",,"349",,"332",,"5.1",,"318",,"299",,"6.4",,"105.86",,"7.3",,"2410",,"773",
"2021","Sainte-Gertrude-Manneville","2021A00052488085","17","793",,"787",,"0.8",,"325",,"314",,"3.5",,"311",,"305",,"2.0",,"316.46",,"2.5",,"2378",,"757",
"2021","Trécesson","2021A00052488075","18","1232",,"1223",,"0.7",,"584",,"558",,"4.7",,"519",,"486",,"6.8",,"196.89",,"6.3",,"1867",,"572",
"2021","Baie-Comeau","2021S0504406","19","26643",,"27692",,"-3.8",,"13252",,"13146",,"0.8",,"12358",,"12366",,"-0.1",,"682.89",,"39.0",,"99",,"23",
