table with row headers in column A and column headers in rows 3 through 4 (leading dots indicate sub-parts),,,
"Annual Estimates of the Resident Population for Metropolitan Statistical Areas in the United States and Puerto Rico:
 April 1, 2020 to July 1, 2021",,,
Geographic Area,"April 1, 2020 Estimates Base",Population Estimate (as of July 1),
,,2020,2021
United States,"331,449,281","331,501,080","331,893,745"
.In Metropolitan Statistical Area,"286,104,556","286,195,308","286,472,775"
".Abilene, TX Metro Area","176,579","176,809","177,314"
".Akron, OH Metro Area","702,219","701,305","700,015"
".Albany, GA Metro Area","148,922","148,417","147,773"
".Albany-Lebanon, OR Metro Area","128,610","128,936","129,839"
".Albany-Schenectady-Troy, NY Metro Area","899,262","898,561","899,286"
".Albuquerque, NM Metro Area","916,528","917,179","918,259"
".Alexandria, LA Metro Area","152,192","151,736","150,890"
".Allentown-Bethlehem-Easton, PA-NJ Metro Area","861,889","861,705","865,310"
".Altoona, PA Metro Area","122,822","122,518","121,767"
".Amarillo, TX Metro Area","268,691","268,820","269,703"
".Ames, IA Metro Area","125,252","125,306","126,195"
".Anchorage, AK Metro Area","398,328","398,097","398,807"
".Ann Arbor, MI Metro Area","372,258","371,656","369,390"
".Anniston-Oxford, AL Metro Area","116,441","116,266","115,972"
".Appleton, WI Metro Area","243,147","243,308","244,084"
".Asheville, NC Metro Area","469,015","469,454","472,341"
".Athens-Clarke County, GA Metro Area","215,415","215,638","217,759"
".Atlanta-Sandy Springs-Alpharetta, GA Metro Area","6,089,815","6,101,146","6,144,050"
".Atlantic City-Hammonton, NJ Metro Area","274,534","274,191","274,966"
".Auburn-Opelika, AL Metro Area","174,241","174,601","177,218"
".Augusta-Richmond County, GA-SC Metro Area","611,000","611,720","615,933"
".Austin-Round Rock-Georgetown, TX Metro Area","2,283,371","2,299,125","2,352,426"
".Bakersfield, CA Metro Area","909,235","909,997","917,673"
".Baltimore-Columbia-Towson, MD Metro Area","2,844,510","2,841,691","2,838,327"
".Bangor, ME Metro Area","152,199","152,007","152,765"
".Barnstable Town, MA Metro Area","228,996","228,969","232,411"
".Baton Rouge, LA Metro Area","870,569","870,178","871,905"
".Battle Creek, MI Metro Area","134,310","134,113","133,819"
".Bay City, MI Metro Area","103,856","103,594","102,985"
".Beaumont-Port Arthur, TX Metro Area","397,565","396,958","395,419"
".Beckley, WV Metro Area","115,079","114,707","113,698"
".Bellingham, WA Metro Area","226,847","227,304","228,831"
".Bend, OR Metro Area","198,253","199,355","204,801"
".Billings, MT Metro Area","184,167","184,567","187,037"
".Binghamton, NY Metro Area","247,138","246,554","245,220"
".Birmingham-Hoover, AL Metro Area","1,115,289","1,114,710","1,114,262"
".Bismarck, ND Metro Area","133,626","133,666","134,417"
".Blacksburg-Christiansburg, VA Metro Area","166,378","166,111","165,293"
".Bloomington, IL Metro Area","170,954","170,870","170,889"
".Bloomington, IN Metro Area","161,039","160,815","161,321"
".Bloomsburg-Berwick, PA Metro Area","82,863","82,782","82,959"
".Boise City, ID Metro Area","764,718","769,581","795,268"
".Boston-Cambridge-Newton, MA-NH Metro Area","4,941,632","4,936,511","4,899,932"
"..Boston, MA Metro Division","2,054,736","2,052,435","2,028,753"
"..Cambridge-Newton-Framingham, MA Metro Division","2,441,831","2,438,640","2,421,816"
"..Rockingham County-Strafford County, NH Metro Division","445,065","445,436","449,363"
".Boulder, CO Metro Area","330,758","330,811","329,543"
".Bowling Green, KY Metro Area","179,639","179,978","182,594"
".Bremerton-Silverdale-Port Orchard, WA Metro Area","275,611","275,660","274,314"
".Bridgeport-Stamford-Norwalk, CT Metro Area","957,419","955,895","959,768"
".Brownsville-Harlingen, TX Metro Area","421,017","421,191","423,029"
".Brunswick, GA Metro Area","113,495","113,492","113,963"
".Buffalo-Cheektowaga, NY Metro Area","1,166,902","1,165,506","1,162,336"
".Burlington, NC Metro Area","171,415","171,842","173,877"
".Burlington-South Burlington, VT Metro Area","225,562","225,563","226,611"
".California-Lexington Park, MD Metro Area","113,777","113,953","114,468"
".Canton-Massillon, OH Metro Area","401,574","401,046","400,525"
".Cape Coral-Fort Myers, FL Metro Area","760,822","764,679","787,976"
".Cape Girardeau, MO-IL Metro Area","97,517","97,481","97,699"
".Carbondale-Marion, IL Metro Area","133,435","133,297","132,907"
".Carson City, NV Metro Area","58,639","58,677","58,993"
".Casper, WY Metro Area","79,955","80,229","79,555"
".Cedar Rapids, IA Metro Area","276,520","276,446","275,435"
".Chambersburg-Waynesboro, PA Metro Area","155,932","155,874","156,289"
".Champaign-Urbana, IL Metro Area","222,538","222,123","222,696"
".Charleston, WV Metro Area","258,859","257,840","255,020"
".Charleston-North Charleston, SC Metro Area","799,636","802,961","813,052"
".Charlotte-Concord-Gastonia, NC-SC Metro Area","2,660,329","2,669,665","2,701,046"
".Charlottesville, VA Metro Area","221,524","221,522","222,688"
".Chattanooga, TN-GA Metro Area","562,647","563,599","567,641"
".Cheyenne, WY Metro Area","100,512","100,690","100,863"
".Chicago-Naperville-Elgin, IL-IN-WI Metro Area","9,618,502","9,601,605","9,509,934"
"..Chicago-Naperville-Evanston, IL Metro Division","7,267,535","7,252,081","7,159,394"
"..Elgin, IL Metro Division","748,811","748,679","750,869"
"..Gary, IN Metro Division","718,663","718,555","719,700"
"..Lake County-Kenosha County, IL-WI Metro Division","883,493","882,290","879,971"
".Chico, CA Metro Area","211,632","210,083","208,309"
".Cincinnati, OH-KY-IN Metro Area","2,256,884","2,257,667","2,259,935"
".Clarksville, TN-KY Metro Area","320,535","321,607","328,304"
".Cleveland, TN Metro Area","126,164","126,310","127,938"
".Cleveland-Elyria, OH Metro Area","2,088,251","2,085,357","2,075,662"
".Coeur d'Alene, ID Metro Area","171,362","172,646","179,789"
".College Station-Bryan, TX Metro Area","268,248","268,864","272,041"
".Colorado Springs, CO Metro Area","755,105","756,573","762,793"
".Columbia, MO Metro Area","210,864","211,127","213,123"
".Columbia, SC Metro Area","829,470","830,767","838,250"
".Columbus, GA-AL Metro Area","328,883","329,141","327,536"
".Columbus, IN Metro Area","82,208","82,157","82,475"
".Columbus, OH Metro Area","2,138,926","2,141,042","2,151,017"
".Corpus Christi, TX Metro Area","421,933","421,862","422,778"
".Corvallis, OR Metro Area","95,184","95,167","96,017"
".Crestview-Fort Walton Beach-Destin, FL Metro Area","286,973","287,664","293,324"
".Cumberland, MD-WV Metro Area","95,044","94,824","94,586"
".Dallas-Fort Worth-Arlington, TX Metro Area","7,637,387","7,662,325","7,759,615"
"..Dallas-Plano-Irving, TX Metro Division","5,129,966","5,148,585","5,217,380"
"..Fort Worth-Arlington-Grapevine, TX Metro Division","2,507,421","2,513,740","2,542,235"
".Dalton, GA Metro Area","142,837","142,665","142,799"
".Danville, IL Metro Area","74,188","73,883","73,095"
".Daphne-Fairhope-Foley, AL Metro Area","231,767","233,140","239,294"
".Davenport-Moline-Rock Island, IA-IL Metro Area","384,324","383,526","381,568"
".Dayton-Kettering, OH Metro Area","814,049","813,475","813,516"
".Decatur, AL Metro Area","156,494","156,399","156,758"
".Decatur, IL Metro Area","103,998","103,647","102,432"
".Deltona-Daytona Beach-Ormond Beach, FL Metro Area","668,921","670,869","685,344"
".Denver-Aurora-Lakewood, CO Metro Area","2,963,821","2,969,289","2,972,566"
".Des Moines-West Des Moines, IA Metro Area","709,466","710,843","719,146"
".Detroit-Warren-Dearborn, MI Metro Area","4,392,041","4,385,748","4,365,205"
"..Detroit-Dearborn-Livonia, MI Metro Division","1,793,561","1,790,225","1,774,816"
"..Warren-Troy-Farmington Hills, MI Metro Division","2,598,480","2,595,523","2,590,389"
".Dothan, AL Metro Area","151,007","151,032","151,618"
".Dover, DE Metro Area","181,851","182,256","184,149"
".Dubuque, IA Metro Area","99,266","99,229","98,718"
".Duluth, MN-WI Metro Area","291,638","291,278","290,780"
".Durham-Chapel Hill, NC Metro Area","649,903","651,192","654,012"
".East Stroudsburg, PA Metro Area","168,327","168,248","169,273"
".Eau Claire, WI Metro Area","172,007","172,097","173,317"
".El Centro, CA Metro Area","179,702","179,489","179,851"
".Elizabethtown-Fort Knox, KY Metro Area","155,572","155,570","156,766"
".Elkhart-Goshen, IN Metro Area","207,047","206,842","206,921"
".Elmira, NY Metro Area","84,148","83,882","83,045"
".El Paso, TX Metro Area","868,859","869,289","871,234"
".Enid, OK Metro Area","62,846","62,629","61,926"
".Erie, PA Metro Area","270,876","270,427","269,011"
".Eugene-Springfield, OR Metro Area","382,971","382,940","383,189"
".Evansville, IN-KY Metro Area","314,049","313,930","313,946"
".Fairbanks, AK Metro Area","95,655","95,286","95,593"
".Fargo, ND-MN Metro Area","249,843","250,219","252,136"
".Farmington, NM Metro Area","121,661","121,429","120,993"
".Fayetteville, NC Metro Area","520,378","520,354","524,588"
".Fayetteville-Springdale-Rogers, AR Metro Area","546,725","549,566","560,709"
".Flagstaff, AZ Metro Area","145,101","145,116","145,052"
".Flint, MI Metro Area","406,211","405,648","404,208"
".Florence, SC Metro Area","199,964","199,638","199,259"
".Florence-Muscle Shoals, AL Metro Area","150,791","150,846","151,517"
".Fond du Lac, WI Metro Area","104,154","104,076","104,362"
".Fort Collins, CO Metro Area","359,066","359,686","362,533"
".Fort Smith, AR-OK Metro Area","244,310","244,223","245,459"
".Fort Wayne, IN Metro Area","419,601","420,208","423,038"
".Fresno, CA Metro Area","1,008,654","1,008,966","1,013,581"
".Gadsden, AL Metro Area","103,436","103,393","103,162"
".Gainesville, FL Metro Area","339,247","339,663","341,756"
".Gainesville, GA Metro Area","203,136","203,589","207,369"
".Gettysburg, PA Metro Area","103,852","103,795","104,127"
".Glens Falls, NY Metro Area","127,039","126,781","126,574"
".Goldsboro, NC Metro Area","117,333","117,226","116,835"
".Grand Forks, ND-MN Metro Area","104,362","104,113","103,462"
".Grand Island, NE Metro Area","77,038","76,885","76,175"
".Grand Junction, CO Metro Area","155,703","155,939","157,335"
".Grand Rapids-Kentwood, MI Metro Area","1,087,592","1,088,203","1,091,620"
".Grants Pass, OR Metro Area","88,090","88,105","88,346"
".Great Falls, MT Metro Area","84,414","84,328","84,511"
".Greeley, CO Metro Area","328,981","331,358","340,036"
".Green Bay, WI Metro Area","328,268","328,323","329,490"
".Greensboro-High Point, NC Metro Area","776,566","776,761","778,848"
".Greenville, NC Metro Area","170,243","170,570","172,169"
".Greenville-Anderson, SC Metro Area","928,195","930,165","940,774"
".Gulfport-Biloxi, MS Metro Area","416,259","416,312","418,082"
".Hagerstown-Martinsburg, MD-WV Metro Area","293,844","294,277","298,227"
".Hammond, LA Metro Area","133,157","133,549","135,217"
".Hanford-Corcoran, CA Metro Area","152,486","152,627","153,443"
".Harrisburg-Carlisle, PA Metro Area","591,712","592,361","596,305"
".Harrisonburg, VA Metro Area","135,571","135,433","135,824"
".Hartford-East Hartford-Middletown, CT Metro Area","1,213,531","1,211,505","1,211,906"
".Hattiesburg, MS Metro Area","172,231","172,287","173,078"
".Hickory-Lenoir-Morganton, NC Metro Area","365,276","365,235","366,441"
".Hilton Head Island-Bluffton, SC Metro Area","215,908","216,764","222,072"
".Hinesville, GA Metro Area","81,424","81,507","82,863"
".Homosassa Springs, FL Metro Area","153,843","154,403","158,083"
".Hot Springs, AR Metro Area","100,180","100,162","100,330"
".Houma-Thibodaux, LA Metro Area","207,137","206,814","206,212"
".Houston-The Woodlands-Sugar Land, TX Metro Area","7,122,240","7,137,747","7,206,841"
".Huntington-Ashland, WV-KY-OH Metro Area","359,862","359,100","356,581"
".Huntsville, AL Metro Area","491,723","494,018","502,728"
".Idaho Falls, ID Metro Area","157,429","158,258","162,786"
".Indianapolis-Carmel-Anderson, IN Metro Area","2,111,040","2,113,700","2,126,804"
".Iowa City, IA Metro Area","175,419","175,495","177,239"
".Ithaca, NY Metro Area","105,740","105,404","105,162"
".Jackson, MI Metro Area","160,366","160,200","160,050"
".Jackson, MS Metro Area","591,978","590,626","587,202"
".Jackson, TN Metro Area","180,504","180,383","180,799"
".Jacksonville, FL Metro Area","1,605,848","1,611,388","1,637,666"
".Jacksonville, NC Metro Area","204,576","204,735","206,160"
".Janesville-Beloit, WI Metro Area","163,687","163,643","164,381"
".Jefferson City, MO Metro Area","150,309","150,199","150,706"
".Johnson City, TN Metro Area","207,285","207,262","208,068"
".Johnstown, PA Metro Area","133,472","132,957","132,167"
".Jonesboro, AR Metro Area","134,196","134,469","134,878"
".Joplin, MO Metro Area","181,409","181,379","182,541"
".Kahului-Wailuku-Lahaina, HI Metro Area","164,754","164,655","164,221"
".Kalamazoo-Portage, MI Metro Area","261,670","261,629","261,108"
".Kankakee, IL Metro Area","107,502","107,236","106,601"
".Kansas City, MO-KS Metro Area","2,192,035","2,193,578","2,199,490"
".Kennewick-Richland, WA Metro Area","303,622","304,306","308,293"
".Killeen-Temple, TX Metro Area","475,367","476,784","486,101"
".Kingsport-Bristol, TN-VA Metro Area","307,614","307,406","308,661"
".Kingston, NY Metro Area","181,851","181,687","182,951"
".Knoxville, TN Metro Area","879,773","881,628","893,412"
".Kokomo, IN Metro Area","83,658","83,619","83,687"
".La Crosse-Onalaska, WI-MN Metro Area","139,627","139,670","139,211"
".Lafayette, LA Metro Area","478,384","478,077","479,212"
".Lafayette-West Lafayette, IN Metro Area","223,716","223,679","224,709"
".Lake Charles, LA Metro Area","222,402","222,035","210,362"
".Lake Havasu City-Kingman, AZ Metro Area","213,267","214,070","217,692"
".Lakeland-Winter Haven, FL Metro Area","725,046","729,233","753,520"
".Lancaster, PA Metro Area","552,984","552,597","553,652"
".Lansing-East Lansing, MI Metro Area","541,297","540,737","540,281"
".Laredo, TX Metro Area","267,114","267,234","267,945"
".Las Cruces, NM Metro Area","219,561","219,899","221,508"
".Las Vegas-Henderson-Paradise, NV Metro Area","2,265,461","2,273,386","2,292,476"
".Lawrence, KS Metro Area","118,785","118,814","119,363"
".Lawton, OK Metro Area","126,652","126,672","127,543"
".Lebanon, PA Metro Area","143,257","143,242","143,493"
".Lewiston, ID-WA Metro Area","64,375","64,378","64,851"
".Lewiston-Auburn, ME Metro Area","111,139","111,039","111,034"
".Lexington-Fayette, KY Metro Area","516,811","517,028","517,846"
".Lima, OH Metro Area","102,206","102,059","101,670"
".Lincoln, NE Metro Area","340,217","340,515","342,117"
".Little Rock-North Little Rock-Conway, AR Metro Area","748,031","748,434","750,936"
".Logan, UT-ID Metro Area","147,348","147,796","152,083"
".Longview, TX Metro Area","286,184","286,153","287,868"
".Longview, WA Metro Area","110,730","110,924","111,524"
".Los Angeles-Long Beach-Anaheim, CA Metro Area","13,200,998","13,173,266","12,997,353"
"..Anaheim-Santa Ana-Irvine, CA Metro Division","3,186,989","3,184,101","3,167,809"
"..Los Angeles-Long Beach-Glendale, CA Metro Division","10,014,009","9,989,165","9,829,544"
".Louisville/Jefferson County, KY-IN Metro Area","1,285,439","1,285,058","1,284,566"
".Lubbock, TX Metro Area","321,368","322,123","325,245"
".Lynchburg, VA Metro Area","261,593","261,408","262,258"
".Macon-Bibb County, GA Metro Area","233,802","233,592","233,883"
".Madera, CA Metro Area","156,255","156,620","159,410"
".Madison, WI Metro Area","680,796","681,484","683,183"
".Manchester-Nashua, NH Metro Area","422,937","422,705","424,079"
".Manhattan, KS Metro Area","134,046","134,135","133,932"
".Mankato, MN Metro Area","103,566","103,663","103,612"
".Mansfield, OH Metro Area","124,936","124,840","125,195"
".McAllen-Edinburg-Mission, TX Metro Area","870,781","872,204","880,356"
".Medford, OR Metro Area","223,259","223,394","223,734"
".Memphis, TN-MS-AR Metro Area","1,337,779","1,337,311","1,336,103"
".Merced, CA Metro Area","281,202","281,726","286,461"
".Miami-Fort Lauderdale-Pompano Beach, FL Metro Area","6,138,333","6,126,441","6,091,747"
"..Fort Lauderdale-Pompano Beach-Sunrise, FL Metro Division","1,944,375","1,941,516","1,930,983"
"..Miami-Miami Beach-Kendall, FL Metro Division","2,701,767","2,692,459","2,662,777"
"..West Palm Beach-Boca Raton-Boynton Beach, FL Metro Division","1,492,191","1,492,466","1,497,987"
".Michigan City-La Porte, IN Metro Area","112,417","112,222","112,390"
".Midland, MI Metro Area","83,494","83,476","83,457"
".Midland, TX Metro Area","175,220","175,471","173,180"
".Milwaukee-Waukesha, WI Metro Area","1,574,731","1,573,598","1,566,487"
".Minneapolis-St. Paul-Bloomington, MN-WI Metro Area","3,690,261","3,692,421","3,690,512"
".Missoula, MT Metro Area","117,922","118,238","119,533"
".Mobile, AL Metro Area","430,197","429,546","428,220"
".Modesto, CA Metro Area","552,878","552,710","552,999"
".Monroe, LA Metro Area","207,104","206,557","204,884"
".Monroe, MI Metro Area","154,809","154,796","155,274"
".Montgomery, AL Metro Area","386,047","385,738","385,798"
".Morgantown, WV Metro Area","140,038","140,092","140,745"
".Morristown, TN Metro Area","142,709","142,830","143,855"
".Mount Vernon-Anacortes, WA Metro Area","129,523","129,852","130,696"
".Muncie, IN Metro Area","111,903","111,669","111,871"
".Muskegon, MI Metro Area","175,824","175,817","176,511"
".Myrtle Beach-Conway-North Myrtle Beach, SC-NC Metro Area","487,722","491,582","509,794"
".Napa, CA Metro Area","138,019","137,608","136,207"
".Naples-Marco Island, FL Metro Area","375,752","377,079","385,980"
".Nashville-Davidson--Murfreesboro--Franklin, TN Metro Area","1,989,519","1,995,343","2,012,476"
".New Bern, NC Metro Area","122,168","121,988","122,273"
".New Haven-Milford, CT Metro Area","864,835","863,498","863,700"
".New Orleans-Metairie, LA Metro Area","1,271,845","1,270,366","1,261,726"
".New York-Newark-Jersey City, NY-NJ-PA Metro Area","20,140,470","20,096,413","19,768,458"
"..Nassau County-Suffolk County, NY Metro Division","2,921,694","2,918,077","2,917,251"
"..Newark, NJ-PA Metro Division","2,280,061","2,276,894","2,273,431"
"..New Brunswick-Lakewood, NJ Metro Division","2,489,367","2,488,909","2,500,806"
"..New York-Jersey City-White Plains, NY-NJ Metro Division","12,449,348","12,412,533","12,076,970"
".Niles, MI Metro Area","154,316","154,095","153,101"
".North Port-Sarasota-Bradenton, FL Metro Area","833,716","837,107","859,760"
