City,2016 Population,2021 Population,Country Code
Atlanta,5787965,6144050,USA
Austin,2062016,2352426,USA
Baltimore,2794111,2838327,USA
Boston,4809061,4899932,USA
Buffalo,1130232,1162336,USA
Charlotte,2499697,2701046,USA
Chicago,9533662,9509934,USA
Cincinnati,2191572,2259935,USA
Cleveland,2060997,2075662,USA
Columbus,2052192,2151017,USA
Dallas,7194758,7759615,USA
Denver,2856755,2972566,USA
Detroit,4316260,4365205,USA
Green Bay,317369,329490,USA
Houston,6806503,7206841,USA
Indianapolis,2006760,2126804,USA
Jacksonville,1476023,1637666,USA
Kansas City,2107066,2199490,USA
Las Vegas,2138836,2292476,USA
Los Angeles,13270694,12997353,USA
Memphis,1336204,1336103,USA
Miami,6055686,6091747,USA
Minneapolis,3538527,3690512,USA
Milwaukee,1576004,1566487,USA
Nashville,1841294,2012476,USA
New Orleans,1267613,1261726,USA
New York,19334778,19768458,USA
Oakland,4688198,4623264,USA
Oklahoma City,1372985,1441647,USA
Orlando,2455583,2691925,USA
Philadelphia,6066661,6228601,USA
Phoenix,4673336,4946145,USA
Pittsburgh,2340222,2353538,USA
Portland,2426575,2511612,USA
Raleigh,1303854,1448411,USA
Sacramento,2291533,2411428,USA
Salt Lake,1184721,1263061,USA
San Antonio,2426276,2601788,USA
San Diego,3306089,3286069,USA
San Francisco,4688198,4623264,USA
San Jose,1987593,1952185,USA
St. Louis,2805502,2809299,USA
Seattle,3816355,4011553,USA
Tampa,3048963,3219514,USA
Washington,6149301,6356434,USA
Calgary,1392609,1481806,CAN
Edmonton,1321441,1418118,CAN
Montreal,4104074,4291732,CAN
Ottawa,934243,1017449,CAN
Toronto,5928040,6202225,CAN
Vancouver,2463431,2642825,CAN
Winnipeg,783099,834678,CAN
