SUMLEV,STATE,COUNTY,PLACE,COUSUB,CONCIT,PRIMGEO_FLAG,FUNCSTAT,NAME,STNAME,ESTIMATESBASE2020,POPESTIMATE2020,POPESTIMATE2021
040,01,000,00000,00000,00000,0,A,Alabama,Alabama,5024279,5024803,5039877
162,01,000,00124,00000,00000,0,A,Abbeville city,Alabama,2368,2368,2379
162,01,000,00460,00000,00000,0,A,Adamsville city,Alabama,4372,4356,4294
162,01,000,00484,00000,00000,0,A,Addison town,Alabama,664,664,668
162,01,000,00676,00000,00000,0,A,Akron town,Alabama,227,227,226
162,01,000,00820,00000,00000,0,A,Alabaster city,Alabama,33360,33381,33676
162,01,000,00988,00000,00000,0,A,Albertville city,Alabama,22390,22385,22522
162,01,000,01132,00000,00000,0,A,Alexander City city,Alabama,14807,14761,14618
162,01,000,01228,00000,00000,0,A,Aliceville city,Alabama,2175,2166,2123
162,01,000,01396,00000,00000,0,A,Allgood town,Alabama,544,543,545
162,01,000,01660,00000,00000,0,A,Altoona town,Alabama,954,953,951
162,01,000,01708,00000,00000,0,A,Andalusia city,Alabama,8739,8731,8715
162,01,000,01756,00000,00000,0,A,Anderson town,Alabama,255,255,256
162,01,000,01852,00000,00000,0,A,Anniston city,Alabama,21366,21308,21157
162,01,000,02116,00000,00000,0,A,Arab city,Alabama,8448,8446,8498
162,01,000,02260,00000,00000,0,A,Ardmore town,Alabama,1327,1335,1370
162,01,000,02320,00000,00000,0,A,Argo town,Alabama,4379,4381,4401
162,01,000,02428,00000,00000,0,A,Ariton town,Alabama,656,654,655
162,01,000,02500,00000,00000,0,A,Arley town,Alabama,328,328,330
162,01,000,02836,00000,00000,0,A,Ashford town,Alabama,2239,2239,2247
162,01,000,02860,00000,00000,0,A,Ashland town,Alabama,1984,1976,1969
162,01,000,02908,00000,00000,0,A,Ashville city,Alabama,2314,2318,2347
162,01,000,02956,00000,00000,0,A,Athens city,Alabama,25420,25686,27027
162,01,000,03004,00000,00000,0,A,Atmore city,Alabama,8568,8548,8542
162,01,000,03028,00000,00000,0,A,Attalla city,Alabama,5843,5838,5839
162,01,000,03076,00000,00000,0,A,Auburn city,Alabama,76000,76429,78564
162,01,000,03220,00000,00000,0,A,Autaugaville town,Alabama,796,797,792
162,01,000,03364,00000,00000,0,A,Avon town,Alabama,463,464,466
162,01,000,03556,00000,00000,0,A,Babbie town,Alabama,631,631,633
162,01,000,03676,00000,00000,0,A,Baileyton town,Alabama,651,651,660
162,01,000,03724,00000,00000,0,A,Bakerhill town,Alabama,210,210,207
162,01,000,03940,00000,00000,0,A,Banks town,Alabama,156,156,155
162,01,000,04660,00000,00000,0,A,Bay Minette city,Alabama,7770,7789,7894
162,01,000,04684,00000,00000,0,A,Bayou La Batre city,Alabama,2202,2198,2182
162,01,000,04852,00000,00000,0,A,Bear Creek town,Alabama,1040,1039,1043
162,01,000,04900,00000,00000,0,A,Beatrice town,Alabama,203,203,203
162,01,000,04948,00000,00000,0,A,Beaverton town,Alabama,186,185,183
162,01,000,05164,00000,00000,0,A,Belk town,Alabama,189,188,188
162,01,000,05692,00000,00000,0,A,Benton town,Alabama,40,40,39
162,01,000,05812,00000,00000,0,A,Berlin town,Alabama,488,491,498
162,01,000,05932,00000,00000,0,A,Berry town,Alabama,1217,1215,1204
162,01,000,05980,00000,00000,0,A,Bessemer city,Alabama,26044,25970,25615
162,01,000,06460,00000,00000,0,A,Billingsley town,Alabama,125,125,126
162,01,000,07000,00000,00000,0,A,Birmingham city,Alabama,200763,200133,197575
162,01,000,07120,00000,00000,0,A,Black town,Alabama,225,225,226
162,01,000,07456,00000,00000,0,A,Blountsville town,Alabama,1832,1829,1827
162,01,000,07672,00000,00000,0,A,Blue Springs town,Alabama,83,82,81
162,01,000,07912,00000,00000,0,A,Boaz city,Alabama,10103,10100,10161
162,01,000,08104,00000,00000,0,A,Boligee town,Alabama,302,301,297
162,01,000,08248,00000,00000,0,A,Bon Air town,Alabama,171,171,168
162,01,000,09016,00000,00000,0,A,Brantley town,Alabama,819,816,807
162,01,000,09136,00000,00000,0,A,Brent city,Alabama,2970,2959,2977
162,01,000,09208,00000,00000,0,A,Brewton city,Alabama,5288,5271,5261
162,01,000,09328,00000,00000,0,A,Bridgeport city,Alabama,2262,2258,2257
162,01,000,09400,00000,00000,0,A,Brighton city,Alabama,2337,2328,2299
162,01,000,09424,00000,00000,0,A,Brilliant town,Alabama,838,835,833
162,01,000,09736,00000,00000,0,A,Brookside town,Alabama,1249,1246,1232
162,01,000,09808,00000,00000,0,A,Brookwood town,Alabama,2503,2498,2473
162,01,000,10240,00000,00000,0,A,Brundidge city,Alabama,2093,2087,2070
162,01,000,11032,00000,00000,0,A,Butler town,Alabama,1902,1894,1870
162,01,000,11416,00000,00000,0,A,Calera city,Alabama,16545,16672,17414
162,01,000,11512,00000,00000,0,A,Camden city,Alabama,1873,1856,1832
162,01,000,11680,00000,00000,0,A,Camp Hill town,Alabama,1006,1003,990
162,01,000,12016,00000,00000,0,A,Carbon Hill city,Alabama,1748,1740,1727
162,01,000,12040,00000,00000,0,A,Cardiff town,Alabama,53,53,52
162,01,000,12160,00000,00000,0,A,Carolina town,Alabama,289,288,290
162,01,000,12304,00000,00000,0,A,Carrollton town,Alabama,1018,1015,998
162,01,000,12496,00000,00000,0,A,Castleberry town,Alabama,494,491,480
162,01,000,12760,00000,00000,0,A,Cedar Bluff town,Alabama,1848,1849,1864
162,01,000,13264,00000,00000,0,A,Center Point city,Alabama,16421,16374,16137
162,01,000,13648,00000,00000,0,A,Centre city,Alabama,3508,3510,3528
162,01,000,13672,00000,00000,0,A,Centreville city,Alabama,2796,2781,2792
162,01,000,14008,00000,00000,0,A,Chatom town,Alabama,1049,1044,1039
162,01,000,14104,00000,00000,0,A,Chelsea city,Alabama,15070,15175,15653
162,01,000,14152,00000,00000,0,A,Cherokee town,Alabama,969,968,963
162,01,000,14392,00000,00000,0,A,Chickasaw city,Alabama,6478,6458,6395
162,01,000,14464,00000,00000,0,A,Childersburg city,Alabama,4760,4748,4689
162,01,000,15064,00000,00000,0,A,Citronelle city,Alabama,3940,3932,3924
162,01,000,15136,00000,00000,0,A,Clanton city,Alabama,8731,8725,8762
162,01,000,15256,00000,00000,0,A,Clay city,Alabama,10301,10318,10311
162,01,000,15304,00000,00000,0,A,Clayhatchee town,Alabama,468,467,470
162,01,000,15376,00000,00000,0,A,Clayton town,Alabama,2291,2288,2273
162,01,000,15472,00000,00000,0,A,Cleveland town,Alabama,1247,1244,1243
162,01,000,15640,00000,00000,0,A,Clio city,Alabama,1214,1213,1203
162,01,000,16000,00000,00000,0,A,Coaling town,Alabama,2038,2033,2010
162,01,000,16240,00000,00000,0,A,Coffee Springs town,Alabama,207,206,208
162,01,000,16264,00000,00000,0,A,Coffeeville town,Alabama,265,264,262
162,01,000,16312,00000,00000,0,A,Coker town,Alabama,901,899,888
162,01,000,16600,00000,00000,0,A,Collinsville town,Alabama,2030,2029,2029
162,01,000,16684,00000,00000,0,A,Colony town,Alabama,265,265,270
162,01,000,16744,00000,00000,0,A,Columbia town,Alabama,690,689,690
162,01,000,16768,00000,00000,0,A,Columbiana city,Alabama,4161,4181,4263
162,01,000,17176,00000,00000,0,A,Coosada town,Alabama,1237,1238,1257
162,01,000,17368,00000,00000,0,A,Cordova city,Alabama,1708,1699,1681
162,01,000,17824,00000,00000,0,A,Cottonwood town,Alabama,1048,1046,1046
162,01,000,17968,00000,00000,0,A,County Line town,Alabama,314,313,311
162,01,000,18040,00000,00000,0,A,Courtland town,Alabama,585,584,584
162,01,000,18088,00000,00000,0,A,Cowarts town,Alabama,1923,1927,1953
162,01,000,18304,00000,00000,0,A,Creola city,Alabama,1938,1936,1936
162,01,000,18856,00000,00000,0,A,Crossville town,Alabama,1811,1810,1810
162,01,000,18952,00000,00000,0,A,Cuba town,Alabama,313,311,306
162,01,000,18976,00000,00000,0,A,Cullman city,Alabama,18112,18215,18635
162,01,000,19216,00000,00000,0,A,Cusseta town,Alabama,152,151,151
162,01,000,19336,00000,00000,0,A,Dadeville city,Alabama,3043,3034,2998
162,01,000,19360,00000,00000,0,A,Daleville city,Alabama,4859,4848,4862
162,01,000,19648,00000,00000,0,A,Daphne city,Alabama,27525,27723,28777
162,01,000,19744,00000,00000,0,A,Dauphin Island town,Alabama,1777,1785,1814
162,01,000,19816,00000,00000,0,A,Daviston town,Alabama,175,174,174
162,01,000,19912,00000,00000,0,A,Dayton town,Alabama,29,29,28
162,01,000,20008,00000,00000,0,A,Deatsville town,Alabama,1706,1710,1730
162,01,000,20104,00000,00000,0,A,Decatur city,Alabama,57851,57777,57804
162,01,000,20296,00000,00000,0,A,Demopolis city,Alabama,7163,7135,7009
162,01,000,20392,00000,00000,0,A,Detroit town,Alabama,230,230,225
162,01,000,20955,00000,00000,0,A,Dodge City town,Alabama,554,554,562
162,01,000,21136,00000,00000,0,A,Dora city,Alabama,2308,2299,2290
162,01,000,21184,00000,00000,0,A,Dothan city,Alabama,71182,71154,71175
162,01,000,21280,00000,00000,0,A,Double Springs town,Alabama,1072,1069,1076
162,01,000,21328,00000,00000,0,A,Douglas town,Alabama,758,757,761
162,01,000,21448,00000,00000,0,A,Dozier town,Alabama,291,290,287
162,01,000,21952,00000,00000,0,A,Dutton town,Alabama,329,329,333
162,01,000,22216,00000,00000,0,A,East Brewton city,Alabama,2278,2271,2266
162,01,000,22816,00000,00000,0,A,Eclectic town,Alabama,1214,1214,1224
162,01,000,23176,00000,00000,0,A,Edwardsville town,Alabama,205,205,205
162,01,000,23296,00000,00000,0,A,Elba city,Alabama,3409,3404,3401
162,01,000,23320,00000,00000,0,A,Elberta town,Alabama,1989,1994,2015
162,01,000,23344,00000,00000,0,A,Eldridge town,Alabama,129,129,128
162,01,000,23488,00000,00000,0,A,Elkmont town,Alabama,417,419,429
162,01,000,23656,00000,00000,0,A,Elmore town,Alabama,1279,1285,1335
162,01,000,23872,00000,00000,0,A,Emelle town,Alabama,34,34,33
162,01,000,24184,00000,00000,0,A,Enterprise city,Alabama,28752,28864,29395
162,01,000,24256,00000,00000,0,A,Epes town,Alabama,279,277,275
162,01,000,24472,00000,00000,0,A,Ethelsville town,Alabama,50,50,50
162,01,000,24568,00000,00000,0,A,Eufaula city,Alabama,12855,12824,12675
162,01,000,24664,00000,00000,0,A,Eutaw town,Alabama,2908,2895,2859
162,01,000,24688,00000,00000,0,A,Eva town,Alabama,591,590,589
162,01,000,24808,00000,00000,0,A,Evergreen city,Alabama,3445,3432,3370
162,01,000,24880,00000,00000,0,A,Excel town,Alabama,556,554,550
162,01,000,25120,00000,00000,0,A,Fairfield city,Alabama,10009,9975,9832
162,01,000,25240,00000,00000,0,A,Fairhope city,Alabama,22340,22562,23147
162,01,000,25384,00000,00000,0,A,Fairview town,Alabama,543,543,548
162,01,000,25648,00000,00000,0,A,Falkville town,Alabama,1152,1151,1147
162,01,000,25816,00000,00000,0,A,Faunsdale town,Alabama,85,85,83
162,01,000,25840,00000,00000,0,A,Fayette city,Alabama,4247,4239,4185
162,01,000,26200,00000,00000,0,A,Five Points town,Alabama,119,119,118
162,01,000,26824,00000,00000,0,A,Flomaton town,Alabama,1454,1449,1452
162,01,000,26848,00000,00000,0,A,Florala town,Alabama,1915,1908,1906
162,01,000,26896,00000,00000,0,A,Florence city,Alabama,39783,39803,39933
162,01,000,26992,00000,00000,0,A,Foley city,Alabama,20353,20601,22063
162,01,000,27376,00000,00000,0,A,Forkland town,Alabama,446,446,444
162,01,000,27520,00000,00000,0,A,Fort Deposit town,Alabama,1236,1235,1194
162,01,000,27616,00000,00000,0,A,Fort Payne city,Alabama,14825,14823,14834
162,01,000,28024,00000,00000,0,A,Franklin town,Alabama,603,600,583
162,01,000,28312,00000,00000,0,A,Frisco City town,Alabama,1178,1174,1165
162,01,000,28432,00000,00000,0,A,Fruithurst town,Alabama,238,237,239
162,01,000,28504,00000,00000,0,A,Fulton town,Alabama,226,225,221
162,01,000,28552,00000,00000,0,A,Fultondale city,Alabama,9887,9880,9789
162,01,000,28672,00000,00000,0,A,Fyffe town,Alabama,964,963,963
162,01,000,28696,00000,00000,0,A,Gadsden city,Alabama,34070,34019,33769
162,01,000,28768,00000,00000,0,A,Gainesville town,Alabama,176,175,174
162,01,000,28936,00000,00000,0,A,Gantt town,Alabama,197,197,198
162,01,000,29032,00000,00000,0,A,Garden City town,Alabama,528,528,534
162,01,000,29056,00000,00000,0,A,Gardendale city,Alabama,16064,16037,16444
162,01,000,29296,00000,00000,0,A,Gaylesville town,Alabama,173,172,172
162,01,000,29392,00000,00000,0,A,Geiger town,Alabama,160,159,156
162,01,000,29464,00000,00000,0,A,Geneva city,Alabama,4202,4201,4185
162,01,000,29560,00000,00000,0,A,Georgiana town,Alabama,1328,1327,1315
162,01,000,29608,00000,00000,0,A,Geraldine town,Alabama,911,910,910
162,01,000,29704,00000,00000,0,A,Gilbertown town,Alabama,737,733,727
162,01,000,29944,00000,00000,0,A,Glen Allen town,Alabama,429,428,426
162,01,000,29992,00000,00000,0,A,Glencoe city,Alabama,5420,5418,5412
162,01,000,30160,00000,00000,0,A,Glenwood town,Alabama,152,151,152
162,01,000,30448,00000,00000,0,A,Goldville town,Alabama,54,54,53
162,01,000,30496,00000,00000,0,A,Good Hope city,Alabama,2491,2496,2548
162,01,000,30640,00000,00000,0,A,Goodwater town,Alabama,1282,1281,1281
162,01,000,30736,00000,00000,0,A,Gordo town,Alabama,1639,1634,1612
162,01,000,30760,00000,00000,0,A,Gordon town,Alabama,291,291,292
162,01,000,30808,00000,00000,0,A,Gordonville town,Alabama,247,246,239
162,01,000,30880,00000,00000,0,A,Goshen town,Alabama,271,270,270
162,01,000,31096,00000,00000,0,A,Grant town,Alabama,1039,1038,1040
162,01,000,31384,00000,00000,0,A,Graysville city,Alabama,1949,1941,1915
162,01,000,31720,00000,00000,0,A,Greensboro city,Alabama,2214,2211,2195
162,01,000,31912,00000,00000,0,A,Greenville city,Alabama,7357,7350,7263
162,01,000,32056,00000,00000,0,A,Grimes town,Alabama,574,572,576
162,01,000,32080,00000,00000,0,A,Grove Hill town,Alabama,1791,1782,1757
162,01,000,32224,00000,00000,0,A,Guin city,Alabama,2193,2186,2172
162,01,000,32272,00000,00000,0,A,Gulf Shores city,Alabama,15100,15216,15736
162,01,000,32416,00000,00000,0,A,Guntersville city,Alabama,8549,8570,8713
162,01,000,32440,00000,00000,0,A,Gurley town,Alabama,824,824,825
162,01,000,32536,00000,00000,0,A,Gu-Win town,Alabama,141,141,142
162,01,000,32560,00000,00000,0,A,Hackleburg town,Alabama,1433,1430,1430
162,01,000,32656,00000,00000,0,A,Haleburg town,Alabama,114,114,115
162,01,000,32704,00000,00000,0,A,Haleyville city,Alabama,4349,4336,4351
162,01,000,32848,00000,00000,0,A,Hamilton city,Alabama,7031,7012,6991
162,01,000,32896,00000,00000,0,A,Hammondville town,Alabama,428,428,429
162,01,000,32968,00000,00000,0,A,Hanceville city,Alabama,3156,3170,3215
162,01,000,33256,00000,00000,0,A,Harpersville town,Alabama,1625,1630,1690
162,01,000,33424,00000,00000,0,A,Hartford city,Alabama,2632,2636,2651
162,01,000,33448,00000,00000,0,A,Hartselle city,Alabama,15484,15472,15549
162,01,000,33640,00000,00000,0,A,Hayden town,Alabama,1336,1336,1332
162,01,000,33712,00000,00000,0,A,Hayneville town,Alabama,808,806,778
162,01,000,33856,00000,00000,0,A,Headland city,Alabama,4965,4976,5145
162,01,000,33904,00000,00000,0,A,Heath town,Alabama,237,236,238
162,01,000,33976,00000,00000,0,A,Heflin city,Alabama,3405,3398,3400
162,01,000,34024,00000,00000,0,A,Helena city,Alabama,20980,21095,21560
162,01,000,34096,00000,00000,0,A,Henagar city,Alabama,2302,2303,2298
162,01,000,34480,00000,00000,0,A,Highland Lake town,Alabama,413,414,415
162,01,000,34816,00000,00000,0,A,Hillsboro town,Alabama,410,410,409
162,01,000,35152,00000,00000,0,A,Hobson City town,Alabama,773,772,768
162,01,000,35200,00000,00000,0,A,Hodges town,Alabama,265,264,263
