City,Geographic Area,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,April 2020,2020,2021
Atlanta,".Atlanta-Sandy Springs-Alpharetta, GA Metro Area",5302598.0,5366462.0,5444473.0,5510530.0,5593204.0,5686048.0,5787965.0,5872432.0,5945303.0,6020364.0,6089815.0,6101146.0,6144050.0
Austin,".Austin-Round Rock-Georgetown, TX Metro Area",1727502.0,1780535.0,1834586.0,1883315.0,1942467.0,2002134.0,2062016.0,2115475.0,2165497.0,2227083.0,2283371.0,2299125.0,2352426.0
Baltimore,".Baltimore-Columbia-Towson, MD Metro Area",2715738.0,2733785.0,2754637.0,2768233.0,2780055.0,2790053.0,2794111.0,2798707.0,2800743.0,2800053.0,2844510.0,2841691.0,2838327.0
Boston,".Boston-Cambridge-Newton, MA-NH Metro Area",4566348.0,4609790.0,4656593.0,4702877.0,4746931.0,4778340.0,4809061.0,4841772.0,4859536.0,4873019.0,4941632.0,4936511.0,4899932.0
Buffalo,".Buffalo-Cheektowaga, NY Metro Area",1135627.0,1135562.0,1134619.0,1134974.0,1135060.0,1133002.0,1130232.0,1129882.0,1129777.0,1127983.0,1166902.0,1165506.0,1162336.0
Charlotte,".Charlotte-Concord-Gastonia, NC-SC Metro Area",2250121.0,2281230.0,2318671.0,2358660.0,2400483.0,2447898.0,2499697.0,2550373.0,2592950.0,2636883.0,2660329.0,2669665.0,2701046.0
Chicago,".Chicago-Naperville-Elgin, IL-IN-WI Metro Area",9470634.0,9500870.0,9528090.0,9550194.0,9560430.0,9552554.0,9533662.0,9514113.0,9484158.0,9458539.0,9618502.0,9601605.0,9509934.0
Cincinnati,".Cincinnati, OH-KY-IN Metro Area",2140715.0,2146208.0,2152554.0,2162060.0,2172190.0,2181427.0,2191572.0,2202558.0,2211936.0,2221208.0,2256884.0,2257667.0,2259935.0
Cleveland,".Cleveland-Elyria, OH Metro Area",2075478.0,2068989.0,2064776.0,2067100.0,2067356.0,2064012.0,2060997.0,2057238.0,2053795.0,2048449.0,2088251.0,2085357.0,2075662.0
Columbus,".Columbus, OH Metro Area",1906366.0,1926338.0,1947208.0,1974061.0,2001635.0,2027568.0,2052192.0,2082581.0,2104194.0,2122271.0,2138926.0,2141042.0,2151017.0
Dallas,".Dallas-Fort Worth-Arlington, TX Metro Area",6392065.0,6510544.0,6644559.0,6753889.0,6889769.0,7042566.0,7194758.0,7337097.0,7455756.0,7573136.0,7637387.0,7662325.0,7759615.0
Denver,".Denver-Aurora-Lakewood, CO Metro Area",2554523.0,2602918.0,2650274.0,2700529.0,2753973.0,2812896.0,2856755.0,2891776.0,2931665.0,2967239.0,2963821.0,2969289.0,2972566.0
Detroit,".Detroit-Warren-Dearborn, MI Metro Area",4291508.0,4291696.0,4300864.0,4305587.0,4311194.0,4309673.0,4316260.0,4321593.0,4322084.0,4319629.0,4392041.0,4385748.0,4365205.0
Green Bay,".Green Bay, WI Metro Area",306754.0,308613.0,310605.0,311947.0,314003.0,315652.0,317369.0,319694.0,321384.0,322906.0,328268.0,328323.0,329490.0
Houston,".Houston-The Woodlands-Sugar Land, TX Metro Area",5947236.0,6056193.0,6183531.0,6328208.0,6500199.0,6671808.0,6806503.0,6900090.0,6976147.0,7066141.0,7122240.0,7137747.0,7206841.0
Indianapolis,".Indianapolis-Carmel-Anderson, IN Metro Area",1892640.0,1910719.0,1929678.0,1953600.0,1971006.0,1986119.0,2006760.0,2027584.0,2052368.0,2074537.0,2111040.0,2113700.0,2126804.0
Jacksonville,".Jacksonville, FL Metro Area",1348907.0,1361972.0,1377607.0,1393432.0,1416446.0,1444638.0,1476023.0,1505033.0,1532663.0,1559514.0,1605848.0,1611388.0,1637666.0
Kansas City,".Kansas City, MO-KS Metro Area",2013361.0,2025490.0,2038586.0,2053850.0,2069182.0,2085913.0,2107066.0,2127203.0,2144427.0,2157990.0,2192035.0,2193578.0,2199490.0
Las Vegas,".Las Vegas-Henderson-Paradise, NV Metro Area",1952587.0,1961925.0,1989224.0,2017193.0,2053134.0,2096717.0,2138836.0,2181635.0,2226115.0,2266715.0,2265461.0,2273386.0,2292476.0
Los Angeles,".Los Angeles-Long Beach-Anaheim, CA Metro Area",12838417.0,12925753.0,13013443.0,13097434.0,13166609.0,13234696.0,13270694.0,13278000.0,13249879.0,13214799.0,13200998.0,13173266.0,12997353.0
